"CountSettlement","CountTotalSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountTotalWood","CountTotalBrick","CountTotalPasture","CountTotalStone","CountTotalGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","HasLargestArmy","HasLongestRoad","CountVictoryPoint","HasMostPoints","WonGame"
2,2,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,10,10,2,1,8,0,0,0,0,0,0,0,2,0,0
2,2,0,14,5,4,0,0,2,0,0,0,0,0,5,5,0,2,2,21,21,2,2,4,0,0,0,0,0,0,0,2,0,0
2,4,2,14,4,12,5,19,8,0,0,0,0,0,10,10,4,11,7,26,26,12,23,19,3,0,2,2,0,1,1,10,1,1
0,3,3,7,22,0,0,6,12,0,0,0,0,0,1,1,0,8,7,8,8,0,17,13,0,0,0,0,0,0,0,6,0,0
2,2,0,8,0,5,0,0,6,0,0,0,0,0,4,4,1,1,9,14,14,4,2,12,0,0,0,0,1,0,0,3,0,0
5,5,0,14,8,29,8,0,4,0,0,0,0,0,12,12,2,0,4,31,31,10,3,12,0,0,0,1,1,0,1,8,0,0
2,2,0,9,4,0,4,1,0,0,1,0,0,0,0,0,5,0,1,11,11,12,5,8,2,1,0,0,1,0,0,3,0,0
0,4,4,10,10,0,0,10,16,1,0,0,0,0,0,0,0,4,9,10,10,4,20,21,3,0,0,1,0,1,0,10,1,1
2,3,1,6,4,0,4,2,5,0,0,0,0,0,0,0,7,1,4,8,8,16,11,15,6,1,0,1,2,0,0,6,0,0
2,2,0,3,0,0,0,0,6,1,0,0,0,0,1,1,0,0,12,6,6,2,0,14,0,0,0,0,0,0,0,2,0,0
1,3,2,7,0,18,13,15,4,0,0,0,0,0,18,18,17,19,2,26,26,25,32,14,7,0,2,1,3,1,0,10,1,1
0,2,2,2,6,0,0,10,6,0,0,0,0,0,0,0,0,11,9,2,2,0,17,13,0,0,0,0,0,0,0,4,0,0
2,2,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,2,4,8,8,4,4,8,0,0,0,1,0,0,0,2,0,0
1,3,2,9,10,4,8,6,12,0,0,0,0,0,6,6,15,0,10,16,16,19,9,18,9,0,0,0,3,1,0,10,1,1
0,2,2,12,0,20,0,10,6,0,0,0,0,0,6,6,0,5,0,18,18,5,16,9,2,0,1,0,1,0,0,5,0,0
4,4,0,11,10,0,5,0,8,0,0,1,0,0,0,0,1,0,1,15,15,10,5,10,7,1,0,0,2,1,1,10,1,1
2,2,0,9,0,5,0,0,2,0,0,0,0,0,8,8,0,0,1,19,19,5,3,6,0,0,0,1,1,0,0,3,0,0
0,2,2,11,4,0,0,12,10,0,0,0,0,0,0,0,0,20,11,11,11,0,26,15,0,0,0,0,0,0,0,4,0,0
2,2,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,1,8,16,16,2,1,10,0,0,0,0,0,0,0,2,0,0
2,2,0,12,5,5,0,0,0,0,0,0,0,0,3,3,0,0,0,17,17,2,0,2,0,0,0,0,0,0,0,2,0,0
2,5,3,14,6,4,8,12,16,0,0,1,0,0,3,1,1,0,1,0,10,1,1
3,3,0,5,1,4,10,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,2,0,2,3,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
